Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
dream_1d7277aa	p	I’ll make sure to tell you not to come to school~	game/script.rpy	156	p "[what]"
dream_4d214582	s	It’s not a pretty pink birthday cake with your face on it, but take this you scrumptious son of a bitch~	game/script.rpy	164	s "[what]"
dream_f7c69af3	ps	Happy Valentine's day!	game/script.rpy	173	ps "[what]" with dissolve
morning_929b689c		The sound of a rock flying through your window wakes you up with a start.	game/script.rpy	184	"[what]" with vpunch
morning_0b5d8bca	u	JESUS CHRIST WHAT THE HELL	game/script.rpy	186	u "[what]"
morning_0c8638aa	fv	Wakey-wakey~	game/script.rpy	188	fv "[what]"
morning_ef2f1671	u	What?	game/script.rpy	193	u "[what]"
morning_e9a8c932	fv	Don’t tell me you forgot! That Ligma must’ve really messed you up. It’s White Day!	game/script.rpy	195	fv "[what]"
morning_2ef760ce	u	WH-WHITE DAY!? That’s today?!	game/script.rpy	199	u "[what]"
morning_cf3b1562	fv	Of course it is, you f**king baka! Now c'mon! If you don’t get dressed now, we’re gonna be late for class!	game/script.rpy	201	fv "[what]"
morning_ba117d9c		You rush to put on your clothes, and get a glance of yourself in the mirror. All you see is a blur.	game/script.rpy	204	"[what]"
morning_f71912cc	u	Nearly forgot to put on my contacts again. Now where could they be...	game/script.rpy	206	u "[what]"
morning_78efdf13	mc	There we go! Better meet up with her outside...	game/script.rpy	215	mc "[what]" with easeinleft
walking_004bb5d3	t	Sooo... did you ask anyone to go to the White Day Promdancestravaganza(tm) yet?	game/script.rpy	223	t "[what]"
walking_cff876f0	mc	Aw nuts! I totally forgot...	game/script.rpy	226	mc "[what]" with easeinleft
walking_da9079fe	t	Well, at least you have a gift to give, right?	game/script.rpy	228	t "[what]"
walking_40426ffa	mc	...	game/script.rpy	230	mc bashful "[what]"
walking_16e01fd5	t	Right?	game/script.rpy	232	t "[what]"
walking_e7474a25	mc	Uhhhhhhhhhh	game/script.rpy	234	mc "[what]"
walking_f003ecab	t	So, you don’t have anything to give anyone!?	game/script.rpy	236	t angry "[what]"
walking_54972f4d	mc	Oh man! If Pico or Steve find out that I don’t have a gift, I’m ruined! You gotta help me Trash-can, you’re my only hope!	game/script.rpy	238	mc worried "[what]"
walking_2db60aa9	t	Fine! If you can’t come up with something yourself, then I’m sure our classmates would be willing to help.	game/script.rpy	240	t "[what]"
walking_ca7c779f	mc	What do you mean?	game/script.rpy	242	mc bashful "[what]"
walking_396de2a1	t	Well, we’ve all been working on an end-of-year project. I’m sure that if you ask nicely, they’ll help you out.	game/script.rpy	244	t talking "[what]"
walking_66428e99	t	Here, you’ll need this.	game/script.rpy	246	t "[what]"
walking_72959685		Trash-can hands you a crumpled up piece of paper with a shittily scribbled map of the school.	game/script.rpy	249	"[what]"
walking_d19c3042	mc	Wow... thanks Trash-can, I don’t know what to say...	game/script.rpy	252	mc "[what]"
walking_5f83cd33	t	You’ll just have to owe me hehe~	game/script.rpy	254	t "[what]"
walking_045ff37c	t	Ah, here we are! Remember to meet me back here when you’re done so I can help you put it together, ok?	game/script.rpy	261	t "[what]"
mj_b6c80a22	mj	hi kid im Michael Jackson how can i help you today	game/script.rpy	297	mj "[what]"
mj_bcf48032	mc	Erm... hi.	game/script.rpy	301	mc "[what]" with easeinleft
mj_8820db22	mc	Well you know White Day is today right? I don’t have any gift prepared yet.	game/script.rpy	302	mc "[what]"
mj_9f3767e2	mc	But I heard that you were part of the school project! Could I have your piece?	game/script.rpy	303	mc happy "[what]"
mj_7733e68f	mj	id k what you are talking about dude i have not been to school since 2009 you must be tripping from the Ligma	game/script.rpy	305	mj confused "[what]"
mj_1e99e50d	mc	Where did your glasses go?	game/script.rpy	307	mc nervous "[what]"
mj_becbb915	mj	ok im just messing with you my buddy pal guy dude friend check this out	game/script.rpy	309	mj submit "[what]"
mj_1f8dfe69	mc	Oh wow! Now I can finally get to the good ****! Thank you Michael Jackson!	game/script.rpy	313	mc happy "[what]"
mj_3ae4cb7f	mj	live 2 love brother	game/script.rpy	315	mj point "[what]"
slimy_df04fed1	mc	Hey Slimy so I was maybe wondering if you could possibly maybe	game/script.rpy	324	mc "[what]"
slimy_c213d3cf	slimy	Stop.	game/script.rpy	328	slimy "[what]" with easeinright
slimy_850cdd9a	slimy	I’m busy right now so I’ll make this quick.	game/script.rpy	329	slimy "[what]"
slimy_da9762b0	slimy	If I give you this will you piss off?	game/script.rpy	330	slimy submit "[what]"
slimy_f4ff1423	mc	Yeah!	game/script.rpy	332	mc happy "[what]"
slimy_f8cc27d2	slimy	Good.	game/script.rpy	336	slimy "[what]"
slimy_8624648b	slimy	Just keep the weird **** in the broom closet during the dance or whatever.	game/script.rpy	337	slimy talkingalt "[what]"
bbi_f9cc8384	mc	Sleeping during school hours again? Get off the Doxylamine already.	game/script.rpy	345	mc "[what]"
bbi_fcae76af	bbi	what the hell MC bro that was my NASA nap whats your deal ??	game/script.rpy	349	bbi "[what]" with easeinright
bbi_1ec618f7	mc	Well I heard you took part in the collab.	game/script.rpy	351	mc bashful "[what]"
bbi_a74bfa5e	bbi	eeh i think so, yea, so what ???	game/script.rpy	353	bbi talking "[what]"
bbi_fb3feb77	mc	I just REALLY need it now for an emergency present for White Day, can you please let me have it?	game/script.rpy	355	mc worried "[what]"
bbi_f7bf97ba	bbi	awww baby girl forgot their present for the white day ?? you suck lol	game/script.rpy	359	bbi talkingalt "[what]"
bbi_15dd61eb	bbi	here ya go pal it got washed couple of times with my sweater but i hope itll still get you nice and penetrated hehe <33	game/script.rpy	360	bbi submit "[what]"
spook_889ebdae	spook	Hey, MC-kun! I haven’t seen you in almost a month. You had me worried sick!	game/script.rpy	391	spook "[what]"
spook_244df572	mc	I feel way better but..	game/script.rpy	394	mc "[what]" with easeinleft
spook_01569cba	mc	I have no gift for white day...	game/script.rpy	395	mc bashful "[what]"
spook_b8311ff8	spook	That’s terrible! Is there anything I can do?	game/script.rpy	397	spook talking alt "[what]"
spook_47bd0f66	mc	Could I have your piece of the school project? I need it for love!	game/script.rpy	399	mc happy "[what]"
spook_8dffbc1e	spook	If it’s for love, no cost is too great! Here you go.	game/script.rpy	401	spook submit "[what]"
spook_4d5609f9	spook	Remember to keep yourself hydrated!	game/script.rpy	405	spook talking "[what]"
louis_dd119f18	louis	Oh hey man what’s up?	game/script.rpy	415	louis "[what]"
louis_9bd3ffed	mc	Hand it over. That thing. Your art piece.	game/script.rpy	418	mc "[what]" with easeinleft
louis_95e6526d	louis	My project entry? But I’ve been working on this all month!	game/script.rpy	420	louis "[what]"
louis_5dc2aeec	mc	And this is my game! You wouldn’t deny someone their win con, would you?	game/script.rpy	422	mc angry "[what]"
louis_82afb3c5	louis	Am I at least gonna get credited?	game/script.rpy	424	louis "[what]"
louis_fc00e658	mc	No.	game/script.rpy	426	mc neutral "[what]"
louis_988a517c	louis	Okay...	game/script.rpy	430	louis submit "[what]"
cat_d0cc4f01	cat	Sup MC-kun, here’s the project piece.	game/script.rpy	442	cat @ submitalt "[what]"
cat_cec4151e	mc	Wait, what? I didn’t even ask you for it yet.	game/script.rpy	445	mc "[what]" with easeinleft
cat_fefe22f0	cat	You ran through the hall screaming "Oh god I need a White Day present" several times before walking up to me.	game/script.rpy	447	cat talkingalt "[what]"
cat_cebb9031	cat	Wasn’t exactly subtle.	game/script.rpy	448	cat talking "[what]"
cat_1617ec82	mc	Well, uh, thanks, I guess.	game/script.rpy	450	mc shy "[what]"
cat_9f7b386f	cat	Anytime.	game/script.rpy	452	cat @ talkingalt "[what]"
gloom_0f40a5b4	gloom	Hey MC-kun! What’s up?	game/script.rpy	461	gloom "[what]"
gloom_ec13d290	mc	Trash-can told me that you worked on the big project, is it okay if I use it?	game/script.rpy	464	mc "[what]" with easeinleft
gloom_59a22d96	gloom	Sure thing, I’ve been waiting to show this off for ages!	game/script.rpy	466	gloom talkingalt "[what]"
gloom_6c471787	gloom	Sorry if it’s a little sticky, mini gloom here has a drooling problem	game/script.rpy	467	gloom submit "[what]"
gloom_6d04953c	mc	Thanks!	game/script.rpy	470	mc "[what]"
gloom_f74ac7d8	mc	By the way did you do something with your hair?	game/script.rpy	472	mc shy "[what]"
gloom_064ef9b2	gloom	Been trying out a more traditional approach, how’s it look?	game/script.rpy	474	gloom talking "[what]"
gloom_459a6659	mc	Looks good, see you at the dance!	game/script.rpy	476	mc happy "[what]"
moxxy_3e7146c9	mc	Moxxy.	game/script.rpy	506	mc "[what]"
moxxy_b4ede2ce	mc	Moxxy?	game/script.rpy	507	mc "[what]"
moxxy_5c9c3012	mc	Moxxy!	game/script.rpy	508	mc "[what]"
moxxy_c2c34786	moxxy	!!	game/script.rpy	511	moxxy "[what]" with vpunch
moxxy_1f23c13b	moxxy	Next time you're gonna sneak up on me don't do it when I'm eating, it's a real choking hazard you know.	game/script.rpy	512	moxxy talkingalt "[what]"
moxxy_e5020d01	moxxy	So what's up?	game/script.rpy	513	moxxy talking "[what]"
moxxy_3b1c1943	mc	Can I have your piece of the big project? Without it I’ll never find true love!	game/script.rpy	515	mc worried "[what]"
moxxy_aaf3f2bb	moxxy	Well if it helps you find true love at that lousy dance tonight then sure.	game/script.rpy	519	moxxy talkingalt "[what]"
moxxy_3a65f9dd	moxxy	If it doesn't... at least you'll have a cool doodle from your friend Mox right?	game/script.rpy	520	moxxy submit "[what]"
moxxy_ebf3bbc9	mc	Thanks, you're the best!	game/script.rpy	522	mc happy "[what]"
neko_87b264b6	mc	{i}It’s the bancho of NG High! I better be respectful or I’ll get my teeth kicked in...{/i}	game/script.rpy	530	mc "[what]"
neko_2c9bc8f9	neko	{b}What do you want, runt?{/b}	game/script.rpy	534	neko "[what]" with easeinright
